2000.0 2000.0 3546
  0  0 34.384   0.01   + 1  3 57.67   -0.5   8.8   BD+00 5080    3532 
  0  0 39.101   0.28   + 0 13 22.41   -0.7   8.2   BD-00 4603    3533 
  0  0 58.418  -1.23   - 4 55 57.12  -17.1   8.7   BD-05 6097    3534 
  0  1 49.461   0.15   - 3  1 39.16   -0.9   5.1       29 Psc    3535 
  0  1 57.631   0.34   - 6  0 50.70   -4.1   4.7       30 Psc    3536 
  0  2  2.619   0.26   - 2 45 58.25   -0.2   6.9   BD-03 5750    3537 
  0  2 24.114  -0.09   + 8 57 24.86    0.2   6.3       31 Psc    3538 
  0  2 29.711  -0.62   + 8 29  7.79   -4.7   5.8       32 Psc    3539 
  0  2 47.155   0.41   + 2  7 47.69  -10.3   7.4   BD+01 4820       1 
  0  3 40.129  -0.08   + 3 54 25.01   -1.4   7.9   BD+03 4926       2 
  0  4 46.312  -0.06   + 1 32 12.64   -2.3   8.4   BD+00 5084       3 
  0  5  3.827   0.37   - 0 30 10.82   -5.3   6.3   BD-01 4525       4 
  0  5 20.144  -0.06   - 5 42 27.41    8.9   4.7       33 Psc       5 
  0  5 22.315   0.01   + 3 36 21.69   -0.8   6.9   BD+02 4752       6 
  0  5 25.459  -0.05   - 3 51  6.06   -3.4   7.8   BD-04 6019       7 
  0  6  8.085   0.19   + 0  7 16.92   -1.3   8.2   BD-00 4619       8 
  0  6 18.655  -0.04   - 1 14 16.84   -2.4   8.0   BD-02 6099       9 
  0  7  2.464   0.05   + 5 17 16.68   -1.4   8.4   BD+04 5089      10 
  0  7  4.156  -0.19   + 6 52 31.86   -2.8   8.3   BD+06 5242      11 
  0  7 44.117   0.18   - 2 32 55.28    0.0   6.3   BD-03    2      12 
  0  8 12.104   0.06   - 2 26 51.78   -0.3   6.3   BD-03    3      13 
  0  8 22.173   0.30   + 3 26 26.32   -3.8   8.0   BD+02    3      14 
  0  8 43.129   0.30   - 2 13 21.17   -0.1   7.3   BD-03    5      15 
  0  8 52.266   0.09   + 0 41 32.89    0.9   7.6   BD-00    6      16 
  0  9 55.016   0.13   + 4 49 57.06    1.1   8.0   BD+04    8      17 
  0 10 18.864   0.24   - 5 14 55.23   -3.5   6.0   BD-06   11      18 
  0 10 40.722  -0.08   + 2  3 20.08    2.1   8.2   BD+01   12      19 
  0 11  9.648   0.18   - 3 19 17.19   -1.4   6.8   BD-04    7      20 
  0 11 15.679  -0.07   + 7 56 53.05   -1.8   7.9   BD+07   13      21 
  0 12 40.334   0.51   - 1 13 37.79    0.4   7.3   BD-02   19      22 
  0 13 40.515   0.20   + 6 34 49.06   -1.4   8.5   BD+05   18      23 
  0 13 47.567  -0.21   + 1 23  1.00   -0.8   6.9   BD+00   19      24 
  0 14  1.240   0.32   - 3 54 31.84   -1.8   7.8   BD-04   12      25 
  0 14 36.544   0.03   + 1 17 48.35   -1.0   7.4   BD+00   22      26 
  0 14 50.166   0.28   - 0 18 10.75   -0.9   8.0   BD-01   14      27 
  0 14 58.820   0.67   + 8 49 15.06   -3.7   5.9       35 Psc      28 
  0 15 38.620   0.26   + 5 50 37.83    0.2   7.2   BD+05   25      29 
  0 15 57.307   0.13   + 4 15  3.67   -1.9   7.0   BD+03   26      30 
  0 16 33.997  -0.21   + 8 14 23.89   -3.0   6.2       36 Psc      31 
  0 16 39.400  -0.03   + 1 51  2.13    1.4   7.3   BD+01   28      32 
  0 16 45.647  -0.02   +10 14 40.90    0.4   6.8   BD+09   21      33 
  0 17 24.424   0.50   + 8 52 34.79    7.9   7.0       38 Psc      34 
  0 17 47.643   0.51   + 1 41 19.59    1.4   6.4   BD+00   28      35 
  0 17 48.382  -0.02   - 1 51 45.87    0.5   7.2   BD-02   31      36 
  0 18 18.529   0.24   - 2  0 53.40   -0.5   7.5   BD-02   34      37 
  0 19 16.614  -0.08   + 0 31 14.04   -0.7   7.9   BD-00   42      38 
  0 19 29.208  -0.05   + 5 45 36.82   -2.9   8.6   BD+04   32      39 
  0 20  9.514  -0.01   + 3  2  0.62   -1.4   8.0   BD+02   37      40 
